# Онтология аттракторов человеческого организма с количественными оценками
1.	Точечные аттракторы (всего: 4000-5000)
1.1.1.3.2.3.1.1.	Эйкозаноиды (2-4)
1.1.1.3.2.3.1.2.	Диацилглицеролы (3-5)
1.1.1.3.2.3.1.3.	Церамиды (3-4)
1.1.1.3.2.3.2.	Якорные липиды (8-13)
1.1.1.3.2.3.2.1.	GPI-якоря (2-4)
1.1.1.3.2.3.2.2.	Пренильные группы (3-5)
1.1.1.3.2.3.2.3.	Миристоильные группы (3-4)
1.1.1.3.2.3.3.	Энергетические липиды (9-14)
1.1.1.3.2.3.3.1.	Триацилглицеролы (3-5)
1.1.1.3.2.3.3.2.	Жирные кислоты (3-5)
1.1.1.3.2.3.3.3.	Ацил-КоА (3-4)
1.1.2.	Конформационные аттракторы (700-900)
1.1.2.1.	Белковые конформационные аттракторы (300-400)
1.1.2.1.1.	Ферментативные конформации (150-200)
1.1.2.1.1.1.	Активные состояния (50-70)
1.1.2.1.1.1.1.	Каталитически-компетентные состояния (15-20)
1.1.2.1.1.1.1.1.	Субстрат-связанные конформации (5-7)
1.1.2.1.1.1.1.2.	Переходные состояния (5-6)
1.1.2.1.1.1.1.3.	Продукт-освобождающие конформации (5-7)
1.1.2.1.1.1.2.	Регуляторно-активные состояния (20-25)
1.1.2.1.1.1.2.1.	Фосфорилированные активные формы (7-8)
1.1.2.1.1.1.2.2.	Кофактор-зависимые активные формы (7-9)
1.1.2.1.1.1.2.3.	Комплекс-стабилизированные формы (6-8)
1.1.2.1.1.1.3.	Энергетически-оптимальные состояния (15-25)
1.1.2.1.1.1.3.1.	pH-зависимые активные конформации (5-8)
1.1.2.1.1.1.3.2.	Температурно-оптимальные формы (5-8)
1.1.2.1.1.1.3.3.	Ионно-стабилизированные состояния (5-9)
1.1.2.1.1.2.	Аллостерические состояния (50-65)
1.1.2.1.1.2.1.	Эффектор-связывающие состояния (15-20)
1.1.2.1.1.2.1.1.	Позитивно-модулированные формы (5-7)
1.1.2.1.1.2.1.2.	Негативно-модулированные формы (5-6)
1.1.2.1.1.2.1.3.	Смешанные регуляторные формы (5-7)
1.1.2.1.1.2.2.	Конформационно-передаточные состояния (20-25)
1.1.2.1.1.2.2.1.	Домен-взаимодействующие формы (7-8)
1.1.2.1.1.2.2.2.	Субъединичные интерфейсы (7-9)
1.1.2.1.1.2.2.3.	Сигнал-проводящие конформации (6-8)
1.1.2.1.1.2.3.	Кооперативные состояния (15-20)
1.1.2.1.1.2.3.1.	Тензионно-зависимые формы (5-7)
1.1.2.1.1.2.3.2.	Олигомерные переходы (5-6)
1.1.2.1.1.2.3.3.	Агрегационные состояния (5-7)
1.1.2.1.1.3.	Ингибированные состояния (50-65)
1.1.2.1.1.3.1.	Обратимо-ингибированные состояния (15-20)
1.1.2.1.1.3.1.1.	Конкурентно-связанные формы (5-7)
1.1.2.1.1.3.1.2.	Неконкурентные комплексы (5-6)
1.1.2.1.1.3.1.3.	Смешанно-ингибированные формы (5-7)
1.1.2.1.1.3.2.	Необратимо-ингибированные состояния (20-25)
1.1.2.1.1.3.2.1.	Ковалентно-модифицированные формы (7-8)
1.1.2.1.1.3.2.2.	Структурно-деформированные формы (7-9)
1.1.2.1.1.3.2.3.	Агрегированные комплексы (6-8)
1.1.2.1.1.3.3.	Регуляторно-ингибированные состояния (15-20)
1.1.2.1.1.3.3.1.	Фосфо-ингибированные формы (5-7)
1.1.2.1.1.3.3.2.	Аллостерически-блокированные формы (5-6)
1.1.2.1.1.3.3.3.	Субъединично-диссоциированные формы (5-7)
1.1.2.1.2.	Рецепторные конформации (100-120)
1.1.2.1.2.1.	Лиганд-связывающие состояния (35-40)
1.1.2.1.2.1.1.	Предсвязывающие состояния (10-12)
1.1.2.1.2.1.1.1.	Открытые конформации (3-4)
1.1.2.1.2.1.1.2.	Промежуточные формы (3-4)
1.1.2.1.2.1.1.3.	Предактивационные состояния (4-4)
1.1.2.1.2.1.2.	Комплекс-стабилизированные состояния (15-17)
1.1.2.1.2.1.2.1.	Высокоаффинные комплексы (5-6)
1.1.2.1.2.1.2.2.	Низкоаффинные комплексы (5-5)
1.1.2.1.2.1.2.3.	Промежуточные комплексы (5-6)
1.1.2.1.2.1.3.	Диссоциативные состояния (10-11)
1.1.2.1.2.1.3.1.	Быстро-диссоциирующие формы (3-4)
1.1.2.1.2.1.3.2.	Медленно-диссоциирующие формы (4-4)
1.1.2.1.2.1.3.3.	Остаточно-связанные формы (3-3)
1.1.2.1.2.2.	Активированные состояния (35-40)
1.1.2.1.2.2.1.	Начальные активационные состояния (10-12)
1.1.2.1.2.2.1.1.	Конформационно-измененные формы (3-4)
1.1.2.1.2.2.1.2.	Димеризационные комплексы (3-4)
1.1.2.1.2.2.1.3.	Кластеризованные формы (4-4)
1.1.2.1.2.2.2.	Сигнал-проводящие состояния (15-17)
1.1.2.1.2.2.2.1.	G-белок активирующие формы (5-6)
1.1.2.1.2.2.2.2.	Киназные каскады (5-5)
1.1.2.1.2.2.2.3.	Ионные каналы (5-6)
1.1.2.1.2.2.3.	Эффекторные состояния (10-11)
1.1.2.1.2.2.3.1.	Транскрипционно-активные формы (3-4)
1.1.2.1.2.2.3.2.	Метаболически-активные формы (4-4)
1.1.2.1.2.2.3.3.	Цитоскелет-модулирующие формы (3-3)
1.1.2.1.2.3.	Десенситизированные состояния (30-40)
1.1.2.1.2.3.1.	Фосфорилированные состояния (10-13)
1.1.2.1.2.3.1.1.	Киназ-модифицированные формы (3-4)
1.1.2.1.2.3.1.2.	Множественно-фосфорилированные формы (3-4)
1.1.2.1.2.3.1.3.	Фосфатаз-регулируемые формы (4-5)
1.1.2.1.2.3.2.	Интернализационные состояния (10-14)
1.1.2.1.2.3.2.1.	Эндоцитозные формы (3-5)
1.1.2.1.2.3.2.2.	Везикулярные формы (3-4)
1.1.2.1.2.3.2.3.	Деградационные формы (4-5)
1.1.2.1.2.3.3.	Рециклирующие состояния (10-13)
1.1.2.1.2.3.3.1.	Мембранно-возвращающиеся формы (3-4)
1.1.2.1.2.3.3.2.	Реактивируемые формы (4-5)
1.1.2.1.2.3.3.3.	Деградационно-устойчивые формы (3-4)
1.1.2.1.3.	Структурные конформации (50-80)
1.1.2.1.3.1.	Стабильные состояния (20-30)
1.1.2.1.3.1.1.	Нативные состояния (7-10)
1.1.2.1.3.1.1.1.	Компактные формы (2-3)
1.1.2.1.3.1.1.2.	Гидрофобно-стабилизированные формы (2-3)
1.1.2.1.3.1.1.3.	Солевые мостики (3-4)
1.1.2.1.3.1.2.	Физиологические состояния (7-10)
1.1.2.1.3.1.2.1.	pH-оптимальные формы (2-3)
1.1.2.1.3.1.2.2.	Температурно-стабильные формы (2-3)
1.1.2.1.3.1.2.3.	Ионно-стабилизированные формы (3-4)
1.1.2.1.3.1.3.	Защитные состояния (6-10)
1.1.2.1.3.1.3.1.	Шаперон-связанные формы (2-3)
1.1.2.1.3.1.3.2.	Осмопротекторные комплексы (2-3)
1.1.2.1.3.1.3.3.	Антиоксидантные формы (2-4)
1.1.2.1.3.2.	Промежуточные состояния (15-25)
1.1.2.1.3.2.1.	Фолдинговые интермедиаты (5-8)
1.1.2.1.3.2.1.1.	Ранние интермедиаты (1-2)
1.1.2.1.3.2.1.2.	Поздние интермедиаты (2-3)
1.1.2.1.3.2.1.3.	Молтен-глобулярные состояния (2-3)
1.1.2.1.3.2.2.	Конформационные переходы (5-9)
1.1.2.1.3.2.2.1.	Доменные движения (2-3)
1.1.2.1.3.2.2.2.	Петлевые реорганизации (2-3)
1.1.2.1.3.2.2.3.	Субъединичные перестройки (1-3)
1.1.2.1.3.2.3.	Стресс-индуцированные формы (5-8)
1.1.2.1.3.2.3.1.	Тепловые интермедиаты (2-3)
1.1.2.1.3.2.3.2.	pH-зависимые формы (1-2)
1.1.2.1.3.2.3.3.	Окислительно-модифицированные формы (2-3)
1.1.2.1.3.3.	Денатурированные состояния (15-25)
1.1.2.1.3.3.1.	Обратимо-денатурированные формы (5-8)
1.1.2.1.3.3.1.1.	Частично-развернутые состояния (2-3)
1.1.2.1.3.3.1.2.	Рефолдинг-компетентные формы (1-2)
1.1.2.1.3.3.1.3.	Шаперон-связываемые формы (2-3)
1.1.2.1.3.3.2.	Необратимо-денатурированные формы (5-9)
1.1.2.1.3.3.2.1.	Агрегированные состояния (2-3)
1.1.2.1.3.3.2.2.	Химически-модифицированные формы (2-3)
1.1.2.1.3.3.2.3.	Протеолитически-чувствительные формы (1-3)
1.1.2.1.3.3.3.	Стресс-денатурированные формы (5-8)
1.1.2.1.3.3.3.1.	Температурно-индуцированные формы (2-3)
1.1.2.1.3.3.3.2.	pH-денатурированные состояния (1-2)
1.1.2.1.3.3.3.3.	Окислительно-поврежденные формы (2-3)
1.1.3.	Нуклеиновые конформационные аттракторы (250-300)
1.1.3.1.	ДНК-конформации (150-180)
1.1.3.1.1.	Транскрипционно-активные состояния (50-60)
1.1.3.1.1.1.	Промоторные конформации (15-20)
1.1.3.1.1.1.1.	Открытые комплексы РНК-полимеразы
1.1.3.1.1.1.2.	Преинициаторные комплексы
1.1.3.1.1.1.3.	Инициаторные комплексы
1.1.3.1.1.2.	Энхансерные петли (12-15)
1.1.3.1.1.2.1.	Дальние регуляторные взаимодействия
1.1.3.1.1.2.2.	Локальные хроматиновые домены
1.1.3.1.1.2.3.	Транскрипционные фабрики
1.1.3.1.1.3.	Модифицированные структуры (13-15)
1.1.3.1.1.3.1.	Ацетилированные участки
1.1.3.1.1.3.2.	Деметилированные области
1.1.3.1.1.3.3.	Нуклеосомно-деплетированные регионы
1.1.3.1.1.4.	Регуляторные изгибы (10-10)
1.1.3.1.1.4.1.	ДНК-белковые изгибы
1.1.3.1.1.4.2.	Последовательность-зависимые изгибы
1.1.3.1.1.4.3.	Топологически-индуцированные деформации
1.1.3.1.2.	Репликативные состояния (50-60)
1.1.3.1.2.1.	Точки начала репликации (12-15)
1.1.3.1.2.1.1.	Преинициаторные комплексы
1.1.3.1.2.1.2.	Открытые репликативные вилки
1.1.3.1.2.1.3.	Лицензированные ориджины
1.1.3.1.2.2.	Репликативные вилки (15-18)
1.1.3.1.2.2.1.	Лидирующая цепь
1.1.3.1.2.2.2.	Отстающая цепь
1.1.3.1.2.2.3.	Праймосомные комплексы
1.1.3.1.2.3.	Репарационные конформации (13-15)
1.1.3.1.2.3.1.	Эксцизионные пузыри
1.1.3.1.2.3.2.	Рекомбинационные структуры
1.1.3.1.2.3.3.	Пострепликативные комплексы
1.1.3.1.2.4.	Терминационные структуры (10-12)
1.1.3.1.2.4.1.	Конвергентные вилки
1.1.3.1.2.4.2.	Разрешенные димеры
1.1.3.1.2.4.3.	Декатенированные продукты
1.1.3.1.3.	Компактизированные состояния (50-60)
1.1.3.1.3.1.	Нуклеосомные структуры (15-18)
1.1.3.1.3.1.1.	Канонические нуклеосомы
1.1.3.1.3.1.2.	Вариантные нуклеосомы
1.1.3.1.3.1.3.	Промежуточные состояния
1.1.3.1.3.2.	Соленоидные структуры (12-15)
1.1.3.1.3.2.1.	30-нм фибриллы
1.1.3.1.3.2.2.	Суперспирализованные домены
1.1.3.1.3.2.3.	Петлевые домены
1.1.3.1.3.3.	Хромосомные территории (13-15)
1.1.3.1.3.3.1.	Эухроматиновые домены
1.1.3.1.3.3.2.	Гетерохроматиновые блоки
1.1.3.1.3.3.3.	Ламина-ассоциированные домены
1.1.3.1.3.4.	Митотические формы (10-12)
1.1.3.1.3.4.1.	Профазные хромосомы
1.1.3.1.3.4.2.	Метафазные хроматиды
1.1.3.1.3.4.3.	Конденсинные комплексы
1.1.3.2.	РНК-конформации (100-120)
1.1.3.2.1.	Функциональные структуры (35-40)
1.1.3.2.1.1.	Каталитические центры (10-12)
1.1.3.2.1.1.1.	Рибозимы
1.1.3.2.1.1.2.	Сплайсосомные комплексы
1.1.3.2.1.1.3.	Пептидилтрансферазные центры
1.1.3.2.1.2.	Связывающие домены (9-11)
1.1.3.2.1.2.1.	тРНК-антикодоновые петли
1.1.3.2.1.2.2.	Рибосомные А/P/E сайты
1.1.3.2.1.2.3.	Субстрат-связывающие карманы
1.1.3.2.1.3.	Структурные элементы (8-9)
1.1.3.2.1.3.1.	Шпильки
1.1.3.2.1.3.2.	Псевдоузлы
1.1.3.2.1.3.3.	Спирали
1.1.3.2.1.4.	Терминальные структуры (8-8)
1.1.3.2.1.4.1.	5'-кэп
